scheme,k,silhouette
meta+kmeans,5,0.0695
meta+kmeans,8,0.0826
meta+kmeans,10,0.0836
meta+kmeans,15,0.0922
meta+kmeans,20,0.103
meta+kmeans,25,0.0971
meta+kmeans,30,0.1125
meta+kmeans,40,0.1128
meta+kmeans,50,0.1089
meta+gmm,5,0.0427
meta+gmm,8,0.0652
meta+gmm,10,0.0743
meta+gmm,15,0.0691
meta+gmm,20,0.08
meta+gmm,25,0.0814
meta+gmm,30,0.0889
meta+gmm,40,0.0939
meta+gmm,50,0.0985
combined+kmeans,5,0.1112
combined+kmeans,8,0.1343
combined+kmeans,10,0.1537
combined+kmeans,15,0.1918
combined+kmeans,20,0.2061
combined+kmeans,25,0.2311
combined+kmeans,30,0.2469
combined+kmeans,40,0.2656
combined+kmeans,50,0.2691
combined+gmm,5,0.0676
combined+gmm,8,0.0689
combined+gmm,10,0.1074
combined+gmm,15,0.1403
combined+gmm,20,0.1765
combined+gmm,25,0.1798
combined+gmm,30,0.2043
combined+gmm,40,0.2192
combined+gmm,50,0.2241
